timestamp,date,hour,weekday,symbol,timeframe,raw_signal,decision,allowed,passed_checks,total_checks,failed_checks,n_failed_checks,confidence_pre_penalty,confidence_post_penalty,effective_min_confidence,entry_quality_penalty,entry_quality_failed_checks,entry_price,sl,tp,lot,risk_approved,risk_reject_reason,spread,session_regime,signal_source_module_votes,outcome
2026-08-10T11:07:48.237084+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,SELL,BLOCKED_SELL,False,13,12,S/R zone alignment;Session quality;Confluence quality,3,54.7,46.7,55.0,8,sl_swing_anchor;rejection_psychology,UNKNOWN,1.16643,1.15938,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:08:10.191922+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,SELL,BLOCKED_SELL,False,13,12,S/R zone alignment;Session quality;Confluence quality,3,49.5,39.5,55.0,10,sl_swing_anchor;round_number_tp;rejection_psychology,UNKNOWN,1.16704,1.1602,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:08:32.351455+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,SELL,BLOCKED_SELL,False,15,12,S/R zone alignment,1,61.2,40.2,55.0,21,sl_swing_anchor;tp_structure_validation;rejection_psychology,UNKNOWN,1.16688,1.16037,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:08:54.759759+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,SELL,BLOCKED_SELL,False,13,12,S/R zone alignment;Session quality;Confluence quality,3,47.8,26.799999999999997,55.0,21,sl_swing_anchor;tp_structure_validation;rejection_psychology,UNKNOWN,1.16703,1.16082,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:08:55.209079+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,NO TRADE,NO_TRADE,False,4,5,Valid signal;Risk approved;Session quality;Confluence quality;Signal persistence,5,0.0,0.0,55.0,,,UNKNOWN,,,0,False,Signal is NO TRADE — no trade,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:08:55.751740+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,NO TRADE,NO_TRADE,False,4,5,Valid signal;Risk approved;Session quality;Confluence quality;Signal persistence,5,0.0,0.0,55.0,,,UNKNOWN,,,0,False,Signal is NO TRADE — no trade,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:08:56.308490+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,NO TRADE,NO_TRADE,False,4,5,Valid signal;Risk approved;Session quality;Confluence quality;Signal persistence,5,0.0,0.0,55.0,,,UNKNOWN,,,0,False,Signal is NO TRADE — no trade,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:08:56.727820+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,NO TRADE,NO_TRADE,False,4,5,Valid signal;Risk approved;Session quality;Confluence quality;Signal persistence,5,0.0,0.0,55.0,,,UNKNOWN,,,0,False,Signal is NO TRADE — no trade,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:09:17.350073+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,NO TRADE,NO_TRADE,False,5,6,Valid signal;Risk approved;Session quality;Confluence quality;Signal persistence,5,41.6,41.6,55.0,,,UNKNOWN,,,0,False,Signal is NO TRADE — no trade,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:09:39.599693+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,BUY,BLOCKED_BUY,False,8,9,S/R zone alignment;Trend alignment (regime);Risk approved;Session quality;Confluence quality,5,37.4,37.4,55.0,,,UNKNOWN,1.16423,1.16939,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:10:01.638299+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,SELL,BLOCKED_SELL,False,9,10,Trend alignment (regime);Risk approved;Session quality;Confluence quality;Signal persistence,5,36.7,36.7,55.0,,,UNKNOWN,1.16789,1.16294,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:10:23.692532+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,SELL,BLOCKED_SELL,False,8,9,Trend alignment (regime);Zone cooldown (duplicate entry);Risk approved;Session quality;Confluence quality,5,36.7,36.7,55.0,,,UNKNOWN,1.16868,1.16376,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:10:45.669440+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,SELL,BLOCKED_SELL,False,8,9,Trend alignment (regime);Zone cooldown (duplicate entry);Risk approved;Session quality;Confluence quality,5,36.7,36.7,55.0,,,UNKNOWN,1.16875,1.16389,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:11:07.863648+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,SELL,BLOCKED_SELL,False,12,13,Trend alignment (regime);Zone cooldown (duplicate entry);Session quality;Confluence quality;Signal persistence,5,51.1,36.1,55.0,15,tp_structure_validation;indicator_confluence;round_number_tp;rejection_psychology,UNKNOWN,1.16986,1.16494,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:11:30.172058+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,NO TRADE,NO_TRADE,False,5,6,Valid signal;Risk approved;Session quality;Confluence quality;Signal persistence,5,46.0,46.0,55.0,,,UNKNOWN,,,0,False,Signal is NO TRADE — no trade,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:11:52.752942+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,BUY,BLOCKED_BUY,False,15,12,S/R zone alignment,1,66.0,61.0,55.0,5,rejection_psychology,UNKNOWN,1.1671,1.17193,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:12:14.731275+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,BUY,BLOCKED_BUY,False,15,12,S/R zone alignment,1,66.9,48.900000000000006,55.0,18,indecision_candles;exhaustion_filter;rejection_psychology,UNKNOWN,1.16693,1.17176,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:12:36.235858+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,BUY,BLOCKED_BUY,False,15,12,S/R zone alignment,1,60.4,42.4,55.0,18,indecision_candles;exhaustion_filter;rejection_psychology,UNKNOWN,1.1671,1.17193,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:12:59.136073+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,BUY,BLOCKED_BUY,False,15,12,S/R zone alignment,1,60.1,39.1,55.0,21,sl_swing_anchor;indecision_candles;exhaustion_filter;rejection_psychology,UNKNOWN,1.16757,1.17288,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:13:21.144587+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,BUY,BLOCKED_BUY,False,14,12,Session quality;Confluence quality,2,51.1,25.1,55.0,26,sl_swing_anchor;tp_structure_validation;indecision_candles;rejection_psychology,UNKNOWN,1.16836,1.17412,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:13:43.415171+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,BUY,BLOCKED_BUY,False,15,12,S/R zone alignment,1,61.8,51.8,55.0,10,tp_structure_validation;round_number_tp;rejection_psychology,UNKNOWN,1.16919,1.17498,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
