timeframe,pattern,n,wins,losses,no_hit,win_rate,win_rate_wilson_lo,win_rate_wilson_hi,avg_r,median_r,expectancy_r,expectancy_r_boot_ci_lo,expectancy_r_boot_ci_hi,profit_factor,max_drawdown_r,max_losing_streak,n_ge_30,n_ge_100,n_ge_300,low_sample_warning,research_rank_score
H4,Evening Star,31,13,18,0,0.4194,0.2642,0.5923,-0.1613,-1.0,-0.1613,-0.4839,0.1613,0.7222,-10.0,7,True,False,False,False,-0.5590232011215959
H1,Bearish Separating Lines,30,12,18,0,0.4,0.2459,0.5768,-0.2,-1.0,-0.2,-0.5333,0.1333,0.6667,-8.0,5,True,False,False,False,-0.6867974408970293
H4,Bullish Engulfing,74,29,45,0,0.3919,0.2886,0.5058,-0.2162,-1.0,-0.2162,-0.4324,-0.0,0.6444,-20.0,7,True,False,False,False,-0.9334409301465503
H4,Bearish Counterattack,34,12,22,0,0.3529,0.2149,0.5209,-0.2941,-1.0,-0.2941,-0.5882,0.0588,0.5455,-14.0,9,True,False,False,False,-1.0456278648840365
M15,Bearish Kicker,991,490,500,1,0.4945,0.4634,0.5255,,,,,,0.98,,12,True,True,True,False,
M15,Bullish Kicker,1028,513,514,1,0.499,0.4685,0.5295,,,,,,0.9981,,8,True,True,True,False,
M15,Three Inside Down,24,13,11,0,0.5417,0.3507,0.7211,0.0833,1.0,0.0833,-0.3333,0.5,1.1818,-3.0,3,False,False,False,True,
M15,Bearish Harami,16,10,6,0,0.625,0.3864,0.8152,0.25,1.0,0.25,-0.25,0.75,1.6667,-2.0,2,False,False,False,True,
M15,Bullish Harami,18,6,12,0,0.3333,0.1628,0.5625,-0.3333,-1.0,-0.3333,-0.7778,0.1111,0.5,-6.0,3,False,False,False,True,
H1,Bullish Kicker,377,193,182,2,0.5119,0.4616,0.562,,,,,,1.0604,,7,True,True,True,False,
H1,Bearish Kicker,380,197,182,1,0.5184,0.4682,0.5682,,,,,,1.0824,,9,True,True,True,False,
H1,Three White Soldiers,243,133,108,2,0.5473,0.4845,0.6087,,,,,,1.2315,,8,True,True,False,False,
H1,Bearish Counterattack,88,37,50,1,0.4205,0.3228,0.5248,,,,,,0.74,,5,True,False,False,False,
H1,Hammer,73,33,39,1,0.4521,0.3431,0.5658,,,,,,0.8462,,7,True,False,False,False,
H1,Evening Star,72,25,46,1,0.3472,0.2475,0.4624,,,,,,0.5435,,7,True,False,False,False,
