pattern,session,n,wins,losses,no_hit,win_rate,win_rate_wilson_lo,win_rate_wilson_hi,avg_r,median_r,expectancy_r,expectancy_r_boot_ci_lo,expectancy_r_boot_ci_hi,profit_factor,max_drawdown_r,max_losing_streak,n_ge_30,n_ge_100,n_ge_300,low_sample_warning,research_rank_score
Bearish Engulfing,new_york,173,82,91,0,0.474,0.401,0.5482,-0.052,-1.0,-0.052,-0.2023,0.0983,0.9011,-24.0,6,True,True,False,False,-0.2682708755591555
Bullish Kicker,london,361,172,189,0,0.4765,0.4255,0.528,-0.0471,-1.0,-0.0471,-0.147,0.0528,0.9101,-39.0,7,True,True,True,False,-0.27749644237699383
Three Black Crows,asian,403,189,214,0,0.469,0.4208,0.5178,-0.062,-1.0,-0.062,-0.1563,0.0323,0.8832,-31.0,8,True,True,True,False,-0.37208772243359134
Morning Star,asian,115,53,62,0,0.4609,0.3725,0.5518,-0.0783,-1.0,-0.0783,-0.2522,0.0957,0.8548,-17.0,7,True,True,False,False,-0.3722061119636283
Piercing Line,asian,143,66,77,0,0.4615,0.3819,0.5432,-0.0769,-1.0,-0.0769,-0.2308,0.0909,0.8571,-19.0,8,True,True,False,False,-0.38217864273739444
Bullish Engulfing,asian,324,151,173,0,0.466,0.4124,0.5204,-0.0679,-1.0,-0.0679,-0.1728,0.037,0.8728,-31.0,6,True,True,True,False,-0.39272172988018916
Bearish Engulfing,asian,336,156,180,0,0.4643,0.4117,0.5177,-0.0714,-1.0,-0.0714,-0.1786,0.0298,0.8667,-36.0,8,True,True,True,False,-0.4155539212271587
Bullish Engulfing,london,149,68,81,0,0.4564,0.3785,0.5364,-0.0872,-1.0,-0.0872,-0.2483,0.0738,0.8395,-19.0,8,True,True,False,False,-0.4369273976451935
Shooting Star,london,61,27,34,0,0.4426,0.3251,0.567,-0.1148,-1.0,-0.1148,-0.3443,0.1475,0.7941,-8.0,8,True,False,False,False,-0.4737950274031765
Bearish Kicker,london_ny_overlap,187,85,102,0,0.4545,0.3848,0.5261,-0.0909,-1.0,-0.0909,-0.2299,0.0481,0.8333,-26.0,7,True,True,False,False,-0.4759925744212424
Piercing Line,london,72,32,40,0,0.4444,0.3354,0.5591,-0.1111,-1.0,-0.1111,-0.3333,0.1111,0.8,-12.0,5,True,False,False,False,-0.47667004391158624
Inverted Hammer,new_york,75,33,42,0,0.44,0.3333,0.5525,-0.12,-1.0,-0.12,-0.3333,0.12,0.7857,-12.0,4,True,False,False,False,-0.5196880008343597
Evening Star,asian,116,50,66,0,0.431,0.3446,0.5219,-0.1379,-1.0,-0.1379,-0.3108,0.0517,0.7576,-21.0,9,True,True,False,False,-0.6567037856086105
Tweezer Bottom,london_ny_overlap,75,31,44,0,0.4133,0.3088,0.5263,-0.1733,-1.0,-0.1733,-0.3867,0.04,0.7045,-15.0,8,True,False,False,False,-0.7505160878716212
Bearish Counterattack,new_york,79,30,49,0,0.3797,0.2807,0.49,-0.2405,-1.0,-0.2405,-0.443,-0.0127,0.6122,-19.0,5,True,False,False,False,-1.0538774056390683
Bullish Counterattack,london,86,30,56,0,0.3488,0.2565,0.4541,-0.3023,-1.0,-0.3023,-0.5116,-0.1163,0.5357,-29.0,10,True,False,False,False,-1.3500440242692806
Three White Soldiers,new_york,210,110,99,1,0.5238,0.4564,0.5903,,,,,,1.1111,,6,True,True,False,False,
Bearish Kicker,asian,684,342,340,2,0.5,0.4626,0.5374,,,,,,1.0059,,8,True,True,True,False,
Three White Soldiers,london,191,93,97,1,0.4869,0.417,0.5574,,,,,,0.9588,,7,True,True,False,False,
Bullish Kicker,asian,679,349,327,3,0.514,0.4764,0.5514,,,,,,1.0673,,7,True,True,True,False,
Bearish Separating Lines,london_ny_overlap,16,7,9,0,0.4375,0.231,0.6682,-0.125,-1.0,-0.125,-0.625,0.375,0.7778,-3.0,3,False,False,False,True,
Three Inside Down,new_york,12,5,7,0,0.4167,0.1933,0.6805,-0.1667,-1.0,-0.1667,-0.6667,0.3333,0.7143,-1.0,2,False,False,False,True,
Bearish Separating Lines,new_york,28,13,15,0,0.4643,0.2953,0.6419,-0.0714,-1.0,-0.0714,-0.4286,0.2857,0.8667,-3.0,3,False,False,False,True,
Bullish Kicker,new_york,310,154,155,1,0.4968,0.4415,0.5521,,,,,,0.9935,,8,True,True,True,False,
