pattern,month,n,wins,losses,no_hit,win_rate,win_rate_wilson_lo,win_rate_wilson_hi,avg_r,median_r,expectancy_r,expectancy_r_boot_ci_lo,expectancy_r_boot_ci_hi,profit_factor,max_drawdown_r,max_losing_streak,n_ge_30,n_ge_100,n_ge_300,low_sample_warning,research_rank_score
Bullish Engulfing,2018-07,88,28,60,0,0.3182,0.2302,0.4213,-0.3636,-1.0,-0.3636,-0.5455,-0.1812,0.4667,-34.0,13,True,False,False,False,-1.6320681840346059
Three White Soldiers,2018-01,115,50,61,4,0.4348,0.3477,0.526,,,,,,0.8197,,9,True,True,False,False,
Bullish Separating Lines,2018-01,16,6,10,0,0.375,0.1848,0.6136,-0.25,-1.0,-0.25,-0.75,0.25,0.6,-7.0,5,False,False,False,True,
Bearish Kicker,2018-01,207,93,112,2,0.4493,0.3831,0.5173,,,,,,0.8304,,12,True,True,False,False,
Three Black Crows,2018-01,113,49,63,1,0.4336,0.3459,0.5257,,,,,,0.7778,,6,True,True,False,False,
Bearish Counterattack,2018-01,38,16,21,1,0.4211,0.2785,0.5781,,,,,,0.7619,,6,True,False,False,False,
Bullish Kicker,2018-01,196,107,85,4,0.5459,0.476,0.6141,,,,,,1.2588,,6,True,True,False,False,
Bearish Separating Lines,2018-01,17,9,8,0,0.5294,0.3096,0.7384,0.0588,1.0,0.0588,-0.4118,0.5294,1.125,-3.0,3,False,False,False,True,
Three Outside Down,2018-01,7,4,3,0,0.5714,0.2505,0.8418,0.1429,1.0,0.1429,,,1.3333,-2.0,2,False,False,False,True,
Three Inside Down,2018-01,4,2,2,0,0.5,0.15,0.85,0.0,0.0,0.0,,,1.0,-1.0,1,False,False,False,True,
Inverted Hammer,2018-01,28,13,15,0,0.4643,0.2953,0.6419,-0.0714,-1.0,-0.0714,-0.4286,0.2857,0.8667,-5.0,3,False,False,False,True,
Evening Star,2018-01,29,11,17,1,0.3793,0.2269,0.56,,,,,,0.6471,,7,False,False,False,True,
Morning Star,2018-01,29,10,19,0,0.3448,0.1994,0.5266,-0.3103,-1.0,-0.3103,-0.6552,0.0345,0.5263,-12.0,10,False,False,False,True,
Three Outside Up,2018-01,7,5,2,0,0.7143,0.3589,0.9178,0.4286,1.0,0.4286,,,2.5,-1.0,1,False,False,False,True,
Three Inside Up,2018-01,8,6,2,0,0.75,0.4093,0.9285,0.5,1.0,0.5,,,3.0,-1.0,1,False,False,False,True,
Hammer,2018-01,41,19,21,1,0.4634,0.3206,0.6125,,,,,,0.9048,,6,True,False,False,False,
Bullish Counterattack,2018-01,42,20,21,1,0.4762,0.3336,0.6228,,,,,,0.9524,,4,True,False,False,False,
Bearish Harami,2018-01,5,3,2,0,0.6,0.2307,0.8824,0.2,1.0,0.2,,,1.5,-1.0,1,False,False,False,True,
Upside Gap Two Crows,2018-01,8,6,2,0,0.75,0.4093,0.9285,0.5,1.0,0.5,,,3.0,-1.0,1,False,False,False,True,
Hanging Man,2018-02,28,14,14,0,0.5,0.3263,0.6737,-0.0,-0.0,-0.0,-0.3571,0.3571,1.0,-6.0,3,False,False,False,True,
Hammer,2018-02,23,9,14,0,0.3913,0.2216,0.5921,-0.2174,-1.0,-0.2174,-0.5652,0.2174,0.6429,-5.0,5,False,False,False,True,
Bearish Harami,2018-02,3,3,0,0,1.0,0.4385,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Upside Gap Two Crows,2018-02,8,4,4,0,0.5,0.2152,0.7848,-0.0,-0.0,-0.0,,,1.0,-2.0,2,False,False,False,True,
Bullish Harami,2018-02,2,1,1,0,0.5,0.0945,0.9055,-0.0,-0.0,-0.0,,,1.0,0.0,1,False,False,False,True,
